,precision,recall,f1-score,support
Negative,0.3055555555555556,0.4782608695652174,0.3728813559322034,115.0
Positive,0.9651972157772621,0.9301285634432644,0.9473384571591233,1789.0
accuracy,0.9028361344537815,0.9028361344537815,0.9028361344537815,0.9028361344537815
macro avg,0.6353763856664089,0.7041947165042409,0.6601099065456634,1904.0
weighted avg,0.9253554138205939,0.9028361344537815,0.9126417309820772,1904.0
