model,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,MAE,RMSE,R2
Linear Regression,2.631181896655473,0.1808073000996309,3.4100932844774676,0.3606312582713737,0.8027713920332455,0.033412846212361944,,,
Ridge Regression,2.6210263027401863,0.17366597264767755,3.4077184737740183,0.36224420827562864,0.8030902154789115,0.033300368867560486,,,
Random Forest,1.94538566468254,0.17259811819017581,2.717195001953562,0.5091122631348926,0.8748375830379903,0.036398794124017995,,,
Linear Regression,,,,,,,2.423726916919866,3.2169812154897683,0.8259285737663244
Ridge Regression,,,,,,,2.4293414835674065,3.2242901257145395,0.8251367023632058
Random Forest,,,,,,,1.9407916666666651,2.842010988425861,0.8641430240968326
